!Sample_title	PRB12546 MixA	PRB12547 MixA	PRB12548 MixA	PRB12549 MixB	PRB12550 MixB	PRB12551 MixB	PRB12552 MixC	PRB12553 MixC	PRB12554 MixC	PRB12555 MixD	PRB12556 MixD	PRB12557 MixD
203435_s_at	322.482	165.54	252.041	999.516	558.857	461.807	72.987	75.263	55.369	399.488	468.856	275.717
203510_at	125.581	116.269	139.906	516.885	349.892	337.408	111.844	115.615	75.993	226.514	330.06	210.264
203571_s_at	10.226	10.273	7.527	18.797	8.493	17.994	11.087	13.413	11.188	8.651	6.886	7.34
203591_s_at	414.397	484.077	442.444	215.248	231.647	191.698	310.921	357.274	430.528	362.231	387.689	328.482
203619_s_at	30.961	15.304	26.967	25.54	14.51	18.112	14.975	18.203	10.512	29.201	16.149	8.883
203645_s_at	23.954	100.904	67.404	36.291	85.428	17.74	34.72	40.378	24.079	22.481	16.846	71.101
203680_at	1972.019	1913.847	1958.724	3178.583	2720.182	3093.984	1431.4	1527.727	1390.7	2242.449	2491.268	2320.995
203967_at	1598.124	1556.023	1598.733	2093.498	1741.719	1794.859	1355.712	1572.887	1491.404	1673.418	1876.425	1675.506
204007_at	201.852	142.5	128.647	67.913	131.77	139.901	73.346	82.354	81.626	137.324	97.616	100.295
204044_at	2465.128	2182.119	2004.477	1176.354	1266.239	1277.162	1934.666	1907.998	1978.864	1992.74	2006.714	1773.353
204070_at	189.736	222.386	208.026	352.345	318.22	344.886	227.96	148.891	186.257	218.685	297.136	168.756
204150_at	175.134	28.129	30.412	65.61	24.215	28.639	33.485	23.022	109.298	46.726	37.247	209.475
204351_at	164.348	203.853	255.246	107.215	76.576	186.765	268.932	147.866	131.908	212.49	180.527	179.831
204392_at	686.582	664.322	680.557	505.308	480.912	543.195	610.397	797.626	586.015	605.76	707.648	637.824
204457_s_at	144.535	168.601	212.088	18.25	21.725	49.499	133.597	71.705	33.26	24.889	130.001	33.246
204470_at	18.05	39.487	67.481	29.303	74.213	69.998	48.168	14.984	55.965	85.276	59.581	73.425
204475_at	14.247	5.331	2.205	6.769	4.051	4.65	8.695	1.732	4.795	5.268	3.62	10.521
204518_s_at	1159.452	1035.308	1312.439	659.874	773.363	683.854	944.998	982.828	950.345	1063.289	981.213	1330.389
204558_at	1505.125	1418.299	1849.804	1160.306	1088.692	1223.961	1257.457	1122.814	1325.86	1287.207	1121.663	1259.393
204581_at	429.877	459.846	393.067	1264.513	1240.383	1096.938	906.061	853.473	815.065	770.58	1132.602	828.226
204614_at	5856.134	6257.719	6433.738	4113.957	4025.315	4613.594	6578.367	7317.926	6409.114	6802.517	6427.949	6991.697
204621_s_at	69.712	61.554	78.282	23.117	105.415	49.696	66.621	12.039	16.97	9.385	23.531	44.942
204622_x_at	53.44	77.728	73.35	98.692	43.298	50.233	80.795	81.925	71.69	64.679	65.579	93.126
204627_s_at	112.07	185.574	177.644	272.23	257.535	279.784	385.36	381.624	426.682	177.684	243.217	200.36
204695_at	1774.095	1878.172	1451.773	1025.939	1032.208	1011.719	1018.628	1237.391	802.144	1157.145	1116.024	936.757
204731_at	185.692	182.183	247.878	111.092	188.463	167.92	294.55	230.617	258.931	180.297	204.831	231.225
204748_at	40.224	65.249	35.98	22.004	74.14	32.211	56.479	85.938	76.503	55.694	57.495	13.541
204760_s_at	57.907	76.84	36.205	21.086	124.161	54.322	13.864	26.105	21.118	30.189	48.808	15.988
204787_at	95.575	162.191	169.016	37.362	120.681	135.306	200.911	110.456	218.712	171.113	104.862	228.334
204890_s_at	2763.297	2877.629	2819.315	1029.254	1080.383	942.295	438.582	270.242	394.316	215.394	229.451	271.702
205133_s_at	13340.576	13694.978	12975.51	15235.624	14629.574	17364.686	15704.138	16987.611	15506.194	16275.83	15156.737	14533.053
205164_at	651.873	566.625	528.991	483.154	563.887	502.052	444.178	412.249	378.346	425.331	322.71	310.274
205171_at	419.121	464.906	371.536	448.984	405.983	466.749	439.928	308.036	409.216	305.162	338.915	405.105
205207_at	151.139	94.349	70.48	135.661	115.77	124.876	58.41	63.464	94.245	148.961	67.491	89.846
205226_at	7.97	36.282	30.312	24.095	8.763	7.479	68.949	127.125	117.035	142.346	65.627	19.052
205237_at	80.976	56.403	3.649	44.995	5.71	88.33	9.388	60.883	55.908	21.287	60.857	24.433
205242_at	5.453	4.446	3.789	4.464	4.167	2.964	7.618	6.952	7.803	10.905	4.133	5.948
205266_at	12.519	20.87	16.516	16.353	15.678	25.942	39.101	33.527	38.807	81.17	11.938	54.108
205484_at	1608.949	1941.467	2038.906	1969.234	2140.722	1910.113	794.167	705.566	619.255	961.001	1209.657	1105.331
205686_s_at	188.42	188.286	203.726	363.65	356.569	331.133	359.235	277.999	387.226	332.865	374.494	304.912
205758_at	67.117	212.428	160.235	47.119	233.03	160.111	149.091	46.828	78.466	182.444	35.215	44.177
205890_s_at	146.825	238.306	221.349	593.524	655.101	655.696	2810.625	2609.467	2827.174	1661.306	1548.841	1637.313
205898_at	865.823	742.471	833.888	466.036	382.435	454.284	667.97	738.254	682.45	856.711	720.261	856.719
205922_at	209.543	197.269	190.103	475.273	482.482	454.089	157.216	249.599	217.257	389.449	253.28	389.286
205933_at	205.547	205.489	255.576	344.574	346.248	345.318	348.076	353.632	459.011	320.644	363.879	330.242
206028_s_at	147.994	149.098	77.067	121.625	111.181	107.483	111.823	105.095	118.266	5.26	93.12	116.807
206114_at	10.956	9.899	9.24	10.927	8.44	9.296	8.849	10.78	10.315	11.905	8.058	14.272
206120_at	525.308	556.475	649.181	282.282	267.158	287.973	682.01	595.293	661.784	493.158	618.042	706.164
206222_at	84.775	60.699	56.901	68.299	89.467	68.536	67.46	85.603	102.952	116.778	70.675	44.763
206355_at	70.892	44.551	47.851	32.046	36.781	74.033	47.39	36.916	79.906	59.22	47.509	86.277
206407_s_at	40.158	37.364	159.827	28.047	16.038	18.845	26.165	12.926	36.934	88.159	63.082	168.261
206421_s_at	14.826	8.356	13.404	14.567	12.745	8.912	16.852	15.106	6.76	15.167	10.148	19.289
206569_at	73.017	73.23	64.079	71.223	109.785	91.132	74.715	66.947	23.248	101.856	65.736	18.266
206638_at	11.204	51.476	63.679	41.464	15.666	2.902	5.974	6.616	10.269	6.187	2.879	27.309
206641_at	181.187	175.526	194.578	511.019	452.629	564.574	516.662	592.129	512.039	409.856	499.094	441.196
206653_at	878.41	834.478	801.803	1153.208	977.897	1182.032	855.595	849.314	688.714	961.87	931.02	882.333
206682_at	47.244	53.781	55.277	44.98	87.788	26.963	106.809	45.811	48.492	74.683	40.423	30.141
206749_at	64.488	122.341	140.672	8.337	28.219	16.484	51.901	25.134	43.869	9.152	5.423	39.59
206804_at	1387.59	1259.1	1404.695	511.565	549.771	547.432	212.004	120.484	129.144	20.348	53.755	39.455
206974_at	37.786	79.779	73.473	38.306	25.588	21.443	82.107	30.078	149.649	56.939	92.286	73.721
206975_at	282.463	279.088	371.292	846.923	1131.509	716.257	1241.347	1043.441	1325.18	837.195	729.576	810.449
207008_at	309.32	408.656	297.393	212.108	235.668	264.959	282.37	344.452	243.822	342.068	313.061	329.184
207094_at	36.505	47.922	44.066	11.46	23.451	48.481	18.093	17.742	29.752	45.309	15.947	15.471
207232_s_at	66.266	104.485	52.765	134.539	131.885	73.724	78.724	109.394	15.574	18.718	85.29	60.333
207277_at	177.805	218.603	287.733	93.207	214.216	284.977	250.426	219.025	291.601	258.41	207.563	133.321
207278_s_at	106.379	130.615	87.894	86.808	58.139	131.939	130.451	99.171	127.613	65.605	55.684	95.975
207316_at	49.002	25.97	6.897	23.415	48.903	35.822	40.382	40.163	44.682	41.077	24.637	72.901
207328_at	8.846	6.627	6.456	16.396	8.257	7.52	5.662	8.326	6.338	13.31	7.827	20.771
207336_at	24.426	49.527	10.976	37.12	15.925	13.178	7.127	6.129	5.158	44.813	14.576	9.4
207442_at	19.17	67.785	9.714	10.25	111.274	19.338	111.968	19.402	47.661	29.011	20.2	31.449
207850_at	76.63	81.194	12.778	33.868	93.245	67.097	93.865	56.652	70.445	23.393	57.928	49.031
207852_at	6.107	14.536	7.713	26.514	44.706	37.547	2.709	33.765	45.401	21.118	16.694	55.708
207892_at	14.502	22.359	21.251	8.837	27.103	23.424	26.335	13.404	31.066	22.615	24.891	18.294
207906_at	6.315	12.491	7.533	4	8.456	6.336	5.731	6.783	9.309	5.84	4.975	7.485
207979_s_at	133.58	14.885	31.948	22.33	103.708	51.44	57.274	42.15	98.006	81.918	60.596	63.054
208193_at	6.14	10.851	9.961	34.089	65.913	3.893	37.173	20.436	13.145	11.562	9.866	10.857
208406_s_at	189.068	188.309	182.433	347.542	375.413	518.801	619.068	638.811	853.534	388.188	410.619	519.066
208592_s_at	129.32	167.413	118.609	92.436	57.376	81.365	57.194	110.47	115.404	96.035	126.724	53.847
208771_s_at	4056.33	4344.705	4631.253	4632.072	5224.34	5306.786	3384.155	3426.414	3794.28	4250.409	3724.99	4254.793
208782_at	286.445	351.148	399.707	187.496	220.696	198.556	268.327	215.292	283.312	245.273	259.519	198.682
208862_s_at	328.218	243.965	245.403	275.872	338.497	295.328	453.032	516.69	605.746	348.713	421.915	396.289
209000_s_at	294.797	313.072	347.363	378.568	331.938	200.66	343.351	392.286	362.859	214.943	310.994	298.455
209101_at	6.246	8.486	4.349	36.844	28.604	3.793	9.926	3.651	7.221	1.248	4.527	13.609
209182_s_at	87.657	58.945	26.252	38.586	159.039	84.55	55.294	43.977	24.909	24.268	25.62	29.042
209183_s_at	22.69	17.045	27.146	23.419	28.933	26.863	21.375	32.071	25.374	22.211	22.516	31.824
209277_at	5.509	2.862	1.641	14.811	5.645	2.16	6.931	18.2	22.108	16.623	1.718	36.666
209278_s_at	14.675	2.734	5.883	8.308	3.642	7.853	3.462	6.34	7.681	11.956	3.249	7.749
209588_at	66.844	67.534	57.544	162.041	140.597	177.946	147.604	134.959	56.918	101.444	124.7	75.236
209589_s_at	18.995	39.318	73.747	15.104	71.665	46.582	9.656	19.346	62.025	15.807	14.471	46.07
209670_at	434.048	473.893	426.439	792.689	677.385	758.175	762.409	976.687	876.755	560.533	617.776	506.979
209840_s_at	10.511	12.194	12.576	38.526	13.551	12.346	14.216	18.527	21.094	13.747	37.335	29.417
209841_s_at	81.635	147.665	164.43	114.295	138.488	156.187	98.443	141.442	186.328	193.403	107.403	88.118
209995_s_at	1956.369	1887.793	2250.858	4329.781	4607.6	4424.838	1568.036	1439.655	1565.403	2846.524	2783.949	2677.297
210118_s_at	20.996	33.208	30.049	13.956	14.719	53.222	12.114	22.981	79.778	29.503	18.606	31.805
210218_s_at	248.722	420.246	262.98	271.88	334.752	296.456	395.384	275.756	444.284	338.311	281.363	257
210325_at	385.71	332.524	477.118	174.032	299.998	318.151	268.718	204.535	197.596	149.998	146.939	58.894
210356_x_at	4306.215	4089.922	4160.951	8588.094	9264.159	8909.765	4368.904	4533.995	4890.295	6356.93	5498.346	6007.263
210432_s_at	20.709	5.039	24.404	61.733	60.368	44.154	103.741	91.179	49.089	48.753	13.128	53.678
210484_s_at	60.446	58.12	37.382	106.028	100.419	99.803	52.867	75.172	91.339	104.15	93.52	77.753
210495_x_at	17.471	12.048	22.392	9.99	33.181	12.54	16.014	14.059	15.742	40.737	17.373	23.804
210511_s_at	12.704	14.148	17.057	18.375	6.363	19.36	7.505	7.542	13.158	12.646	18.357	8.167
210705_s_at	332.413	286.724	217.693	449.188	356.698	409.571	589.08	603.101	554.371	371.587	521.056	386.255
210830_s_at	456.464	434.318	456.335	489.008	436.89	464.071	1071.334	1193.463	1109.057	777.213	881.959	818.611
210865_at	83.814	13.413	66.805	58.839	105.571	113.184	64.274	71.446	121.427	134.172	90.216	157.933
210933_s_at	1831.408	1762.284	1787.494	1271.096	898.465	1094.971	1836.251	1943.32	1473.134	1722.763	1600.026	1751.276
211083_s_at	5.946	9.823	3.954	5.864	24.346	7.387	14.25	6.865	6.639	4.576	10.269	39.828
211163_s_at	46.087	23.413	23.56	25.587	9.701	14.101	15.429	17.671	18.658	9.757	7.537	48.641
211165_x_at	8.115	19.327	6.112	9.475	9.021	16.447	6.277	8.3	8.436	6.605	11.082	12.498
211209_x_at	466.655	378.321	412.713	169.796	76.48	25.836	19.251	7.588	68.127	11.73	15.762	5.918
211267_at	71.293	43.451	99.735	9.016	124.095	47.821	5.971	66.286	76.039	94.792	108.05	19.192
211641_x_at	102.76	154.412	51.704	156.309	112.454	154.114	140.475	189.906	47.734	60.192	158.427	89.545
211642_at	7.455	5.32	8.536	7.659	6.746	5.197	21.888	10.731	4.876	3.205	7.011	14.027
211835_at	8.061	8.291	8.324	74.945	8.05	16.994	8.696	8.931	11.969	12.389	8.111	9.739
211856_x_at	174.216	153.145	219.501	35.49	136.481	24.358	21.869	29.149	128.683	19.767	19.708	65.255
211861_x_at	114.556	170.062	102.506	46.06	27.805	99.025	36.191	45.012	37.883	5.095	4.936	9.991
211913_s_at	127.406	78.891	64.888	113.317	81.98	97.516	71.534	109.821	110.953	167.419	98.445	98.616
212062_at	54.994	8.514	9.824	16.023	19.312	6.231	40.717	11.84	13.845	24.408	33.024	11.191
212070_at	17.314	17.957	39.267	11.032	15.504	17.743	14.232	15.706	18.593	17.83	13.912	20.669
212094_at	403.7	410.182	349.97	1088.941	986.928	1171.969	736.831	795.706	847.276	781.374	975.224	812.319
212464_s_at	20.399	12.522	7.023	11.789	20.722	7.574	10.02	11.001	11.251	15.314	9.458	12.061
213119_at	540.343	491.459	476.919	356.623	304.765	354.556	454.735	532.18	532.612	399.105	591.673	552.892
213230_at	158.067	195.594	175.371	131.167	102.09	98.513	106.951	145.46	23.751	74.362	45	89.127
213415_at	84.945	94.118	99.909	168.84	107.002	153.293	255.032	197.787	191.49	90.143	110.727	108.696
214091_s_at	152.729	133.417	135.672	225.201	100.294	219.755	209.666	145.297	186.153	169.275	138.772	237.442
214777_at	4.972	8.648	7.658	10.479	6.433	8.01	6.944	5.72	11.095	9.447	13.062	13.966
215049_x_at	109.597	47.976	92.458	22.79	116.648	87.752	108.581	36.505	46.675	37.472	67.33	90.708
215101_s_at	4.818	1.768	38.529	23.627	3.751	4.841	20.649	8.268	2.907	10.201	1.549	2.094
215262_at	95.78	104.302	132.502	183.75	158.69	157.218	110.903	165.931	136.179	97.797	134.197	10.127
215332_s_at	89.358	144.374	94.366	79.738	132.162	105.909	53.138	26.829	59.126	22.486	19.086	50.033
215784_at	130.361	126.876	143.207	41.362	30.573	59.118	42.993	48.135	68.36	17.238	5.098	85.825
215925_s_at	157.007	192.853	162.448	204.301	278.208	290.859	126.092	62.382	134.125	247.684	168.32	142.363
216050_at	48.306	3.219	3.215	1.077	9.436	1.579	26.159	2.778	6.635	7.898	6.505	5.996
216412_x_at	7.292	12.037	11.057	7.257	11.715	10.45	8.186	8.399	9.819	12.944	7.712	12.644
216557_x_at	602.986	620.319	506.65	852.125	1108.634	1030.267	476.946	398.557	526.123	770.716	525.86	773.645
216766_at	46.036	11.315	10.303	44.571	15.188	20.968	4.579	48.442	50.475	24.007	54.691	68.911
216876_s_at	7.789	9.261	1.522	3.009	3.408	9.85	5.132	8.001	4.628	4.576	0.652	36.839
216901_s_at	570.146	576.145	492.621	513.128	427.278	526.716	277.61	260.465	347.961	276.709	340.047	334.502
217084_at	6.543	7.667	8.922	6.201	7.623	9.312	3.697	8.762	8.834	9.398	6.168	49.395
217119_s_at	111.949	78.319	91.814	134.088	78.005	96.703	73.661	124.585	79.757	120.956	95.756	95.659
217179_x_at	13.135	27.73	18.665	15.145	105.487	15.149	18.934	11.054	83.636	28.596	9.699	88.853
217217_at	6.595	11.599	29.188	10.596	11.279	5.957	18.842	11.409	23.541	10.443	5.084	13.792
217258_x_at	13.716	5.026	9.209	20.626	12.64	17.484	7.953	4.941	7.815	18.99	4.545	10.075
217378_x_at	532.453	662.732	542.637	811.986	749.801	967.132	815.325	1046.323	1138.795	828.681	1053.434	1055.943
217418_x_at	3279.336	3117.115	3499.021	7789.258	9379.952	8201.551	3546.643	3833.698	4273.202	5733.056	4839.357	5048.838
217757_at	12.832	43.332	35.489	23.4	23.714	12.732	21.957	11.091	17.047	39.498	35.41	39.196
217767_at	203.139	96.552	269.644	138.973	24.555	46.256	158.562	177.561	172.139	41.742	146.972	65.379
217889_s_at	44.954	117.57	38.732	14.916	13.047	12.924	84.247	66.205	97.314	34.056	32.154	55.932
218232_at	109.507	71.734	13.457	10.544	26.443	20.062	23.127	16.177	76.08	23.715	19.616	9.024
218501_at	494.912	492.727	466.395	520.351	414.73	527.975	1034.392	960.122	912.134	672.045	930.319	716.614
218529_at	1464.393	1438.176	1741.055	1562.803	1644.426	1396.703	2310.023	1805.952	1768.643	2043.146	1659.213	1618.581
218596_at	478.919	572.42	379.857	247.2	353.762	510.556	442.147	635.557	484.673	548.892	406.768	558.788
218832_x_at	117.411	86.955	89.359	21.253	27.417	24.266	70.723	97.454	39.636	13.691	53.846	131.873
218949_s_at	2043.932	1919.53	2122.086	1819.111	1841.351	1868.245	1981.585	1973.154	2007.96	2050.638	2036.867	1928.56
218963_s_at	18.718	52.758	19.567	6.646	16.895	19.062	81.024	17.924	17.01	27.494	13.05	18.321
219000_s_at	1746.729	2015.334	1978.42	1719.91	1978.651	1727.742	1675.196	1664.376	1385.648	1741.808	1712.865	1671.676
219003_s_at	764.867	801.852	985.195	660.559	649.31	588.549	675.992	795.479	722.789	706.135	734.14	763.579
219025_at	282.651	137.162	217.636	198.351	206.671	162.437	129.829	76.538	447.177	154.278	119.702	237.598
219093_at	50.888	26.976	25.711	5.789	5.493	6.116	3.237	32.471	33.954	38.874	38.846	10.31
219118_at	2172.447	1954.979	2027.622	4415.805	4387.621	3964.947	2911.973	2664.944	2540.23	3150.908	3364.399	3026.98
219179_at	26.706	7.999	17.626	32.071	102.145	80.844	9.118	6.634	59.113	74.676	44.535	69.223
219383_at	53.061	8.944	50.404	67.115	70.904	57.137	2.134	28.134	4.565	13.837	17.258	24.916
219498_s_at	772.09	805.18	732.998	950.576	967.181	958.184	515.609	500.755	678.776	712.669	923.609	733.638
219517_at	1722.085	1810.431	1577.614	3879.461	3872.32	3826.894	1784.696	1662.704	1503.944	2661.005	2746.535	2553.202
219518_s_at	764.47	853.775	821.543	1696.676	1883.953	1733.481	797.267	731.402	670.603	1174.64	1311.223	1335.144
219519_s_at	8.002	21.929	8.406	15.41	17.727	19.587	21.619	9.869	27.679	21.67	8.753	27.722
219525_at	23.535	50.202	28.313	12.604	72.924	42.692	18.381	19.969	8.978	19.702	9.321	57.181
219667_s_at	374.965	508.701	322.632	457.846	497.62	518.53	788.747	812.171	833.156	594.686	767.236	615.113
219684_at	335.834	368.333	347.792	236.475	277.946	202.605	227.402	163.87	221.881	421.391	259.736	454.843
219836_at	113.22	128.772	72.358	87.277	15.908	68.021	76.987	40.145	99.43	61.707	145.143	49.629
219890_at	27.16	52.491	31.199	22.388	20.142	60.874	63.959	73.281	31.526	62.058	39.431	93.372
220005_at	7.336	8.678	8.611	10.509	5.803	6.903	10.52	3.893	8.714	8.442	5.573	6.751
220014_at	17.504	23.908	17.593	15.118	24.07	33.5	39.158	8.238	43.519	47.513	18.311	30.768
220049_s_at	5.2	13.21	8.697	13.231	5.87	10.977	15.962	5.924	14.215	8.631	9.543	10.191
220068_at	1663.16	1592.409	1498.766	2929.012	3190.881	3368.442	1052.742	1021.288	1167.053	2085.355	1961.364	2104.967
220085_at	568.043	608.906	523.287	728.154	606.1	661.773	760.014	635.687	506.342	736.993	716.761	765.614
220301_at	22.135	55.358	55.001	171.791	135.634	125.945	218.359	152.478	109.119	85.282	146.262	71.44
220322_at	75.631	34.861	68.895	46.351	38.771	62.434	31.622	8.507	107.774	130.262	45.195	38.95
220421_at	36.686	57.219	284.24	44.673	71.331	55.761	91.143	107.069	82.855	39.218	116.756	185.095
220485_s_at	165.583	211.678	176.383	98.811	267.4	91.805	122.87	74.046	130.524	142.965	60.909	122.608
220646_s_at	45.604	57.976	59.716	43.349	52.092	35.324	44.273	71.14	50.531	55.814	65.851	21.316
220655_at	42.284	4.813	9.267	2.764	3.203	23.7	38.118	41.638	6.619	36.904	8.961	5.739
220892_s_at	2891.476	2876.994	2710.724	3407.733	3246.04	3168.497	2494.976	2521.302	2546.654	2684.833	2932.181	2461.493
220945_x_at	221.954	177.952	194.532	163.471	123.993	105.783	175.942	170.399	173.462	210.164	210.203	198.827
221004_s_at	1372.325	1338.573	1395.582	806.573	804.842	754.503	1108.029	1217.168	1066.932	1035.268	978.85	960.062
221165_s_at	108.008	151.413	160.261	125.927	145.003	180.759	110.007	114.877	125.224	164.141	79.199	101.409
221286_s_at	1924.003	1709.428	2663.26	4186.192	4701.449	4536.906	3083.219	2366.809	2743.85	2469.803	2753.312	3539.843
221331_x_at	54.642	20.043	56.468	64.248	15.656	34.737	27.775	25.201	89.983	15.497	21.651	29.243
221383_at	20.175	15.337	8.589	18.117	13.712	14.738	11.49	11.382	13.452	15.937	21.68	8.41
221417_x_at	4.81	3.013	4.127	3.605	5.225	4.84	6.022	3.986	4.293	5.798	5.519	7.073
221463_at	42.507	50.961	18.382	30.129	30.268	16.701	12.312	12.046	28.852	18.807	16.358	16.863
221565_s_at	108.832	106.761	200.75	214.417	332.421	209.986	122.404	263.938	247.382	125.461	217.1	156.259
221790_s_at	304.743	301.929	358.853	269.777	295.693	289.745	281.101	317.235	302.831	335.861	301.316	283.887
222240_s_at	162.091	102.799	24.893	88.333	39.287	61.853	81.765	93.112	142.879	92.296	25.509	117.492
222504_s_at	547.963	503.098	353.024	463.554	185.359	507.264	390.609	540.313	337.781	401.502	492.496	321.546
222816_s_at	534.174	501.095	528.556	581.15	695.59	670.245	472.176	418.26	518.639	673.393	556.392	614.049
222862_s_at	54.075	65.219	13.588	53.485	26.736	78.82	25.17	30.612	21.44	74.512	53.242	28.353
222891_s_at	1231.858	1309.721	1070.306	2023.443	1833.899	2018.273	1074.194	989.883	767.864	1435.162	1516.762	1660.379
222974_at	25.472	5.429	2.412	42.633	5.915	6.809	2.818	7.021	59.522	8.68	18.029	26.387
223126_s_at	165.053	270.852	237.705	277.797	197.147	155.335	205.152	232.471	221.321	239.746	192.125	192.393
223204_at	32.191	78.824	38.718	28.486	5.623	38.892	42.281	55.946	57.233	77.392	32.902	82.502
223229_at	5003.928	4562.068	5023.258	4418.392	4936.761	4005.981	4896.341	4532.35	4909.062	4678.1	3839.267	4605.018
223241_at	516.702	483.03	532.189	443.677	535.41	472.683	466.718	524.874	424.229	502.632	434.814	471.156
223434_at	200.412	262.459	236.96	162.442	122.084	190.057	259.316	248.036	196.195	232.103	290.225	229.198
223464_at	328.826	373.173	363.028	246.617	219.28	255.157	313.321	368.014	321.032	347.966	321.277	266.271
223490_s_at	1905.461	1728.339	1798.262	1525.574	1440.548	1632.346	1717.747	1821.457	1726.339	1645.315	1891.485	1515.572
223565_at	1188.622	1258.552	1107.293	2083.021	2558.096	2067.474	1932.079	1364.269	1481.915	1624.915	1767.179	1627.38
223567_at	10.06	8.228	24.163	7.312	7.083	2.298	6.321	27.734	15.896	40.88	25.705	14.631
223741_s_at	260.37	179.82	217.897	83.036	166.04	45.302	138.17	140.225	136.516	49.833	148.167	121.247
223809_at	1072.878	1129.833	1089.97	658.433	553.98	617.363	892.488	843.535	1063.653	1072.96	1108.426	1071.463
223836_at	36.518	24.596	68.887	30.939	7.644	8.615	34.789	17.172	61.384	19.723	35.61	16.604
223939_at	87.684	94.25	81.749	11.665	17.135	91.433	71.637	20.848	68.029	162.571	17.509	66.209
224211_at	85.082	45.651	38.762	91.122	28.028	85.389	22.064	18.925	33.832	42.835	53.905	99.97
224329_s_at	116.575	62.325	91.409	72.198	11.431	8.499	102.579	14.067	35.074	104.505	12.335	8.791
224342_x_at	54.018	23.278	113.274	77.047	203.458	64.034	156.177	52.83	86.411	56.093	40.567	55.539
224399_at	12.903	5.304	10.975	8.963	7.746	9.524	15.177	5.269	9.511	7.924	5.078	8.746
224523_s_at	2052.368	1982.188	1827.665	2250.134	2135.193	1875.948	2016.265	2025.213	1786.788	1791.176	2026.349	1916.622
224801_at	569.737	547.372	722.733	568.642	551.18	516.633	609.247	588.855	692.204	517.356	671.418	593.698
224848_at	6084.327	5816.556	6307.569	3917.975	3637.827	3952.273	3589.401	3782.794	4078.594	3602.647	3946.967	3443.669
224851_at	6255.083	6929.864	6516.673	5551.525	5048.388	5655.533	5331.174	5571.729	4345.227	5370.675	5775.91	5153.721
224973_at	1852.303	2040.626	1690.918	1437.987	984.112	1324.93	1672.603	1784.28	1672.755	1760.928	2442.623	1814.253
225353_s_at	22.954	9.823	51.886	25.638	19.438	9.938	31.42	12.793	4.043	12.122	16.886	17.7
225655_at	7065.479	7193.378	6708.493	5690.022	4859.289	5643.511	5635.71	5771.134	5763.705	5439.284	6171.678	5574.651
225688_s_at	195.171	207.945	155.6	73.972	51.404	69.073	23.226	45.11	38.955	67.411	31.568	14.947
226103_at	81.647	71.671	81.32	106.241	10.741	55.335	174.111	127.203	163.801	105.656	167.95	104.859
226247_at	530.081	498.089	517.48	143.214	208.854	207.34	51.655	99.431	52.316	53.584	43.052	38.997
226274_at	282.21	364.321	275.284	246.312	223.385	222.438	318.313	264.801	288.022	219.285	276.829	290.071
226279_at	57.463	8.812	61.564	7.524	65.788	45.039	9.216	14.522	53.002	41.825	93.219	97.852
