!Sample_title	PRB12534 Jurkat	PRB12535 Jurkat	PRB12536 Jurkat	PRB12537 IM-9	PRB12538 IM-9	PRB12539 IM-9	PRB12540 Raji	PRB12541 Raji	PRB12542 Raji	PRB12543 THP-1	PRB12544 THP-1	PRB12545 THP-1
211083_s_at	2.435	10.461	8.112	9.677	9.465	6.903	11.681	11.886	4.583	14.283	7.909	4.188
211163_s_at	13.801	8.063	6.125	52.261	13.595	12.311	17.71	13.723	8.717	96.792	68.7	68.698
211165_x_at	10.068	7.393	6.259	14.767	10.081	7.395	8.588	20.157	7.596	9.216	8.167	7.235
211209_x_at	867.882	836.388	827.631	8.509	19.163	25.928	22.349	32.598	55.216	21.373	24.246	11.225
211267_at	36.762	18.927	83.382	98.028	15.956	22.33	25.44	26.435	82.129	79.29	13.992	16.12
211641_x_at	165.514	174.909	124.345	133.566	79.059	54.208	409.452	271.372	177.731	119.405	96.425	104.118
211642_at	8.075	4.171	7.009	11.23	6.267	7.739	14.249	8.65	10.829	4.855	8.797	3.832
211835_at	10.573	5.787	10.376	75.429	40.408	118.02	9.992	4.115	10.305	8.827	9.208	5.198
211856_x_at	375.539	451.062	440.403	15.763	69.422	15.869	23.347	13.147	12.994	51.236	78.626	105.391
211861_x_at	237.793	381.97	274.898	14.854	20.626	58.908	18.059	2.19	10.523	18.76	8.009	6.178
211913_s_at	156.816	152.661	185.121	133.788	99.065	117.277	69.016	88.649	92.32	62.435	139.103	71.172
212062_at	6.071	42.093	15.954	11.652	43.991	3.145	6.02	13.408	6.879	27.595	49.574	8.352
212070_at	51.518	32.137	109.379	13.99	17.324	10.6	18.895	16.673	21.197	20.326	16.285	14.267
212094_at	5.02	44.025	61.414	1280.418	1449.532	1654.171	1953.808	1977.141	1763.354	216.142	32.721	119.788
212464_s_at	8.236	6.26	6.389	14.72	13.562	8.666	8.592	18.839	34.884	9.479	9.31	9.368
213119_at	309.339	386.663	304.633	281.791	215.358	235.823	263.932	193.134	301.185	505.025	460.284	712.83
213230_at	468.561	398.522	425.929	73.237	60.653	22.654	81.454	100.387	110.02	78.279	136.628	175.952
213415_at	11.59	4.805	18.47	490.621	290.005	350.403	73.278	6.97	60.501	111.962	70.927	65.836
214091_s_at	245.197	139.694	130.21	142.912	181.378	196.446	155.274	139.708	153.903	120.037	197.778	186.52
214777_at	12.279	5.579	4.773	19.396	6.422	6.703	11.328	9.024	6.096	7.408	4.126	14.226
215049_x_at	129.483	14.713	23.684	15.254	25.588	104.76	85.668	35.151	29.43	26.043	52.199	42.375
215101_s_at	2.514	1.883	29.975	58.419	55.814	4.421	34.964	1.966	39.97	2.777	7.757	41.963
215262_at	82.792	125.148	175.687	165.822	219.909	139.099	149.248	146.917	199.439	148.463	85.812	76.481
215332_s_at	204.527	268.845	189.213	40.725	66.925	16.175	29.283	66.211	12.618	69.507	55.518	76.035
215784_at	398.129	397.741	355.85	4.088	4.667	3.2	5.666	11.105	2.055	13.597	6.003	13.161
215925_s_at	239.203	228.629	225.325	91.879	30.203	44.932	713.162	907.531	529.11	8.509	92.113	13.513
216050_at	6.982	14.688	4.158	2.844	7.86	28.728	2.853	2.872	6.368	5.686	2.278	6.763
216412_x_at	10.928	13.455	8.715	6.404	20.528	12.883	26.628	18.176	18.047	12.603	20.224	23.411
216557_x_at	258.287	161.41	163.305	153.159	126.226	110.52	2529.76	2209.323	2004.45	97.623	135.875	82.149
216766_at	5.808	34.555	28.527	4.154	8.573	22.349	15.733	34.583	57.925	6.36	21.899	9.439
216876_s_at	6.647	2.281	2.982	5.94	4.551	9.77	5.049	10.304	1.798	1.23	6.653	5.711
216901_s_at	1120.879	1063.298	1182.512	158.464	120.613	195.538	528.142	553.349	646.009	355.378	485.061	438.867
217084_at	7.756	6.054	4.137	6.554	10.402	27.64	49.311	7.599	8.985	2.672	5.483	5.685
217119_s_at	38.167	105.623	10.479	159.359	207.038	153.065	60.157	34.328	129.492	90.833	76.22	93.686
217179_x_at	69.045	75.563	68.223	31.395	16.175	15.676	31.758	83.165	14.075	17.956	20.185	69.719
217217_at	15.856	28.236	31.288	12.751	30.575	6.707	9.801	11.894	11.144	8.305	68.176	35.24
217258_x_at	14.31	26.467	37.909	7.438	8.789	6.919	6.494	32.78	12.159	16.34	11.736	13.706
217378_x_at	38.308	14.895	15.942	1532.924	1401.119	1274.48	81.876	144.013	40.199	746.118	20.036	297.422
217418_x_at	253	65.784	176.191	7274.228	4022.277	4135.735	12902.322	10731.4	12145.381	625.521	422.161	308.257
217757_at	17.447	8.335	12.118	8.881	10.608	9.629	10.057	12.013	10.022	55.191	33.652	9.055
217767_at	17.661	32.765	14.181	28.995	32.838	23.382	22.24	10.834	31.063	214.356	491.537	320.802
217889_s_at	241.865	197.101	163.8	159.958	98.644	158.885	5.318	5.508	7.376	24.588	261.213	164.23
218232_at	12.691	10.361	14.605	16.914	8.538	8.698	15.686	18.017	17.172	15.324	17.727	55.357
218501_at	696.829	691.375	675.404	1158.19	1490.662	1603.855	192.952	219.82	225.637	405.681	399.73	364.418
218529_at	2241.63	2598.465	2961.279	1937.213	2941.256	3253.997	1127.115	1036.906	1271.885	747.579	757.512	685.019
218596_at	348.195	240.602	332.49	286.705	397.09	369.941	357.98	203.383	264.651	738.966	736.933	806.815
218832_x_at	19.238	7.429	23.298	6.37	12.227	6.181	5.336	8.022	4.711	338.075	181.889	312.124
218949_s_at	2239.586	2083.19	2134.99	1519.539	1740.214	1683.679	1990.717	1888.234	1943.9	2206.698	2412.439	2173.549
218963_s_at	15.31	10.359	6.623	12.4	11.182	13.33	8.092	15.082	7.628	12.492	58.741	101.501
219000_s_at	2185.229	2472.363	2103.842	1843.023	1280.563	1545.264	1839.404	1791.137	1966.342	1510.321	1525.38	1396.293
219003_s_at	579.005	677.368	528.236	591.588	646.875	656.934	320.584	277.766	351.422	823.974	1053.448	815.795
219025_at	344.945	215.028	222.958	119.746	189.491	96.139	105.109	226.244	247.197	331.972	205.764	174.072
219093_at	51.191	3.533	41.723	6.665	7.834	24.55	9.372	15.165	22.368	34.361	38.364	5.564
219118_at	845.4	1154.594	1087.116	2754.388	3760.244	3702.686	8623.659	7754.381	7720.366	508.376	211.102	285.338
219179_at	17.813	40.287	25.641	34.067	7.301	5.077	19.291	16.747	7.543	101.898	63.043	64.674
219383_at	9.667	16.803	69.44	9.254	59.18	13.544	46.513	6.759	14.452	11.091	6.094	52.362
219498_s_at	255.628	196.883	333.534	15.584	18.721	25.842	2123.825	1866.847	1774.169	527.207	853.018	730.413
219517_at	243.349	250.625	220.621	828.66	1270.241	1143.148	10555.941	9376.862	8337.897	125.665	160.085	188.52
219518_s_at	112.664	87.442	162.082	376.585	629.716	465.023	6280.942	5956.701	4317.905	156.927	103.811	142.86
219519_s_at	10.624	6.951	26.704	15.091	18.019	7.993	16.596	14.244	8.23	59.713	92.331	9.091
219525_at	47.582	15.29	61.402	46.875	12.099	16.332	17.557	34.045	26.786	33.751	66.28	17.104
219667_s_at	7.627	3.736	8.029	980.14	1167.617	1001.534	419.226	434.524	338.075	738.769	836.816	512.283
219684_at	18.99	13.234	22.953	184.986	223.133	228.99	55.667	93.382	55.267	612.44	577.644	616.172
219836_at	38.24	11.568	10.515	32.52	16.331	31.933	114.619	165.725	196.39	11.801	44.577	10.295
219890_at	70.784	28.605	76.095	51.323	11.579	17.003	8.696	30.875	27.467	23.218	22.977	50.803
220005_at	16.899	4.428	11.05	5.744	5.586	13.592	8.217	10.826	4.513	17.476	14.368	7.932
220014_at	5.815	24.152	25.033	2.212	3.769	0.907	6.532	20.029	4.786	16.095	48.671	30.73
220049_s_at	18.453	7.627	7.627	66.626	10.71	9.143	5.019	9.989	11.232	5.373	10.335	5.833
220068_at	21.224	110.512	108.868	97.46	34.765	112.005	6906.15	8944.002	6885.428	57.23	212.471	95.949
220085_at	560.729	762.053	886.473	915.986	1071.415	1000.734	490.143	710.073	777.338	312.117	396.778	380.354
220301_at	5.634	3.336	1.806	518.848	230.32	222.742	3.821	1.529	12.839	38.065	10.984	4.837
220322_at	77.797	54.318	116.694	15.629	64.32	105.298	77.863	63.963	85.138	80.776	21.805	43.319
220421_at	84.634	49.906	54.277	40.482	26.487	115.328	26.262	44.646	36.156	98.481	23.331	181.741
220485_s_at	504.842	270.871	320.148	113.09	42.357	93.657	27.891	53.76	17.652	62.925	15.464	85.638
220646_s_at	6.574	11.043	18.945	32.099	41.73	5.696	38.495	13.629	29.049	94.584	107.355	93.697
220655_at	4.669	4.932	7.834	8.213	4.293	30.197	31.07	4.89	6.044	4.48	19.154	9.986
220892_s_at	12618.938	5567.429	6295.762	4032.411	2910.027	3361.022	5018.834	5235.239	4177.313	1945.793	2135.011	1755.393
220945_x_at	157.094	83.546	123.529	44.094	81.812	50.844	36.02	97.518	57.97	223.149	330.579	277.969
221004_s_at	1948.065	1865.971	2049.415	846.407	1004.109	1137.84	129.273	111.252	128.298	2548.307	2108.141	2135.576
221165_s_at	132.539	117.879	229.748	135.281	77.948	97.602	151.371	143.778	103.596	83.887	72.339	70.925
221286_s_at	2397.746	2531.765	3098.093	4626.509	4483.527	4618.03	9387.031	9556.722	7896.318	316.998	27.881	103.214
221331_x_at	24.565	38.695	19.245	16.296	9.296	7.134	16.433	18.076	6.572	23.093	77.145	34.039
221383_at	8.569	11.669	4.811	59.006	60.648	11.475	8.745	11.23	24.439	7.012	9.668	13.63
221417_x_at	3.469	4.09	3.484	5.7	5.482	3.508	2.87	2.934	3.2	4.267	3.497	4.372
221463_at	23.695	18.792	10.932	25.888	26.823	20.008	75.794	29.742	18.634	14.846	11.857	16.035
221565_s_at	19.171	7.074	27.118	881.203	379.865	361.577	14.327	14.982	11.985	113.992	85.298	103.45
221790_s_at	379.354	285.144	195.752	278.139	241.676	399.63	137.519	161.651	119.675	370.007	447.281	387.976
222240_s_at	177.234	183.794	221.624	38.498	47.098	124.169	100.837	92.397	151.379	53.215	62.694	34.216
222504_s_at	661.701	946.939	796.724	549.148	540.508	556.996	603.421	563.285	631.866	439.284	388.416	496.882
222816_s_at	610.485	434.399	575.58	453.642	567.016	556.096	1010.583	1008.581	1250.784	616.778	451.389	497.982
222862_s_at	110.92	38.148	25.908	26.541	33.858	32.507	46.97	29.462	78.238	31.418	47.484	88.895
222891_s_at	330.412	136.791	258.539	12.081	43.547	63.612	4464.013	5180.567	4111.194	749.761	1595.831	1373.492
222974_at	39.385	5.387	46.756	3.863	10.188	1.05	23.386	8.901	64.623	87.986	12.803	28.286
223126_s_at	35.414	163.631	242.1	239.851	144.646	159.269	192.042	288.04	201.667	243.345	232.917	279.286
223204_at	73.537	21.056	58.078	36.814	16.628	73.975	29.539	36.58	26.469	32.677	43.073	52.954
223229_at	5701.544	6384.757	6226.908	4392.425	4221.131	4717.593	4410.034	4863.606	4928.821	4145.386	4082.039	4106.896
223241_at	503.03	474.271	597.667	309.953	365.255	404.568	465.336	656.717	724.152	586.634	475.237	623.345
223434_at	158.144	164.086	175.411	101.643	67.365	66.045	10.043	10.477	4.823	327.853	396.198	430.375
223464_at	309.041	151.559	149.073	174.179	91.401	50.595	25.258	25.062	39.401	845.775	699.259	909.411
223490_s_at	1470.064	1638.053	1801.205	1367.701	1680.205	1784.577	1628.815	1542.333	1903.754	1977.566	2052.699	1900.876
223565_at	1397.778	1249.738	1439.334	2574.495	2280.657	2465.557	4943.329	4322.824	3750.561	296.395	36.925	65.247
223567_at	25.483	4.703	8.26	20.966	35.202	10.185	38.893	7.657	10.913	64.709	49.179	16.683
223741_s_at	363.664	351.78	330.706	331.564	475.623	296.197	86.393	19.55	27.222	104.496	35.392	21.26
223809_at	141.493	101.119	118.031	4	56.28	8.941	52.406	49.853	22.048	2136.907	2183.026	2120.385
223836_at	16.441	50.683	43.047	13.851	5.471	83.038	7.233	4.085	3.358	15.549	4.903	12.799
223939_at	21.949	12.62	42.077	17.552	7.045	11.75	14.047	16.614	8.647	22.14	111.937	125.514
224211_at	36.664	10.085	11.021	70.623	21.998	48.651	68.59	86.026	76.494	29.779	77.317	23.053
224329_s_at	18.625	9.98	7.064	7.154	6.976	6.163	6.92	16.561	11.73	159.62	230.876	102.338
224342_x_at	58.319	77.58	133.659	118.058	37.061	44.123	85.809	155.178	123.687	214.465	53.203	221.999
224399_at	8.088	6.278	9.039	110.818	7.07	9.486	13.246	6.594	11.532	14.339	5.817	5.429
224523_s_at	2852.751	3344.938	3027.752	1972.923	2882.242	2761.317	2120.98	1733.532	2305.27	1237.445	1106.275	1275.016
224801_at	898.751	735.011	799.303	907.836	900.047	827.775	291.016	358.043	330.977	637.77	656.897	694.413
224848_at	8249.954	10793.696	10089.854	2584.54	3827.104	3726.578	2481.546	2905.089	2797.615	4728.051	5484.831	4989.192
224851_at	6772.025	9022.107	8867.184	3969.86	6097.77	5502.594	4360.806	4804.211	5140.092	7024.045	8140.873	7423.541
224973_at	11.249	22.733	22.957	21.532	12.876	2.042	2.077	4.812	28.621	2772.162	3462.233	3361.119
225353_s_at	29.695	16.248	67.337	15.616	20.651	41.871	12.299	13.067	14.035	111.71	21.762	99.894
225655_at	6746.642	10124.659	7724.213	4137.585	5548.522	5740.611	3215.061	2730.234	4350.917	5930.967	7531.369	6605.395
225688_s_at	518.373	585.531	491.774	38.459	58.526	37.564	16.814	57.627	16.48	60.074	41.011	79.376
226103_at	5.424	6.701	56.784	181.968	199.402	151.93	2.496	2.931	16.309	183.639	176.103	184.683
226247_at	1408.724	1796.621	1640.909	159.068	76.303	45.293	33.754	45.477	32.1	9.361	31.342	65.003
226274_at	506.378	386.533	574.026	331.233	191.332	226.998	62.62	19.265	108.383	397.069	354.197	347.464
226279_at	105.44	15.242	65.288	14.941	31.763	11.359	41.184	11.745	9.533	112.739	3.704	84.187
226342_at	167.616	260.482	217.002	299.252	626.759	570.002	21.555	22.822	57.546	13.892	21.842	10.81
226388_at	3.825	4.948	85.911	5.55	11.845	4.235	11.655	8.238	4.74	60.6	96.114	74.407
226423_at	591.583	414.707	516.865	1945.898	1491.449	1351.392	490.711	470.713	516.859	2758.782	3660.282	3098.034
